Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1
"Natural Gas Liquids, 46.5MJ/kg",,,"NGL,NGL",kg,Geological,,,Resources/ground/Non-renewable energy resources,d7cd8bff-4bcb-4648-87fd-43581cd38b56,,
geothermal energy,,,,MJ,Geological,,,Resources/ground/Renewable energy resources,5d2ff10f-34ba-4f8d-a73f-4f2fe13b9c3e,,
asbestos (white),012001-29-5,,"Mg3Si2O5(OH)4;Chrysotile,Mg3Si2O5(OH)4;Chrysotile",kg,Geological,,,Resources/ground/Non-renewable material resources,4b2e7234-a189-4b4c-ad8e-93d215489277,,
antimonite,,,"Sb2S3;H2SbO3 (-),Sb2S3;H2SbO3 (-)",kg,,,,Resources/ground/Non-renewable material resources,84e25fc9-51db-4115-8358-bf94e0c95ed8,,
magnesium chloride,007786-30-3,,"MgCl2,MgCl2",kg,,,,Resources/ground/Non-renewable material resources,6a563697-8703-4776-bfd5-2b78783b0fe9,,
olivine,019086-72-7,,"(Mg,Fe)2[SiO4];Magnesium iron silicate,(Mg,Fe)2[SiO4];Magnesium iron silicate",kg,,,,Resources/ground/Non-renewable material resources,90db31c7-ceeb-4264-9e86-74b6d3401093,,
kaolin,001332-58-7,,"Al2(Si2O5)(OH2);Aluminum silicate dihydrate,Al2(Si2O5)(OH2);Aluminum silicate dihydrate",kg,,,,Resources/ground/Non-renewable material resources,1ddd2d09-d87f-4f9e-b0bd-eadc9e851e05,,
granite,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,4d1d95fe-641e-4ee2-96a7-4881b9ea80f5,,
nepheline,,,"(Na,K)AlSiO4;Sodium potassium aluminum silicate,(Na,K)AlSiO4;Sodium potassium aluminum silicate",kg,,,,Resources/ground/Non-renewable material resources,fae3ab64-4e98-4670-ab03-e2aa086f4b53,,
rock salt,,,"NaCl;rock salt;岩塩,NaCl;rock salt;岩塩",kg,,,,Resources/ground/Non-renewable material resources,dc19872c-ab34-4e8f-b9cc-2eb72b94b499,,
"rock, except limestone",,,"岩石;rock (except limestone);rock,rock (except limestone);rock",kg,Geological,,,Resources/ground/Non-renewable material resources,567022ed-68ed-4fef-8e49-62107f886732,,
quartz sand,014808-60-7,,"珪砂;けい砂;SiO2;Silicon dioxide,SiO2;Silicon dioxide",kg,Geological,,,Resources/ground/Non-renewable material resources,b1bd620b-8069-4553-b142-c441fef9c99b,,
diatomite,068855-54-9,,"けいそう岩;けいそう土;SiO2;Diatomaceous silica,SiO2;Diatomaceous silica",kg,Geological,,,Resources/ground/Non-renewable material resources,fe848702-6f57-44fc-8402-a7bfc2ff92c9,,
basalt,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,382b938e-de86-4277-85bb-e602afa2febd,,
graphite ore,007782-42-5,,"グラファイト;炭素;C;graphite,グラファイト;炭素;C;graphite",kg,,,,Resources/ground/Non-renewable material resources,be2e7675-3bf2-4d97-ac4c-77415712de82,,
colemanite,001318-33-8,,"Ca2B6O11.5H2O,Ca2B6O11.5H2O",kg,Geological,,,Resources/ground/Non-renewable material resources,37809ea1-b879-4570-b7ca-4ebb7cb9da72,,
gravel,,,,kg,,,,Resources/ground/Non-renewable material resources,48975333-fffe-4088-839c-2b2dd6361fa2,,
limestone,001317-65-3,,"CaCO3;colloidal calcium carbonate,CaCO3;colloidal calcium carbonate",kg,,,,Resources/ground/Non-renewable material resources,74fd1539-c6e3-48df-9033-a2b35aeadf70,,
natural gypsum,007778-18-9,,"CaSO4 .2H2O;Calcium sulphate; Calcium sulfate,CaSO4 .2H2O;Calcium sulphate; Calcium sulfate",kg,Geological,,,Resources/ground/Non-renewable material resources,aedf4bd1-9268-469f-acb3-1946b74c24e0,,
talc,014807-96-6,,"滑石;Mg3Si4O10(OH2)2,Mg3Si4O10(OH2)2",kg,,,,Resources/ground/Non-renewable material resources,71856b35-2b7b-48d9-ab86-a008e171cec8,,
feldspar,012168-80-8,,"Na-K-(AlSi3O8),Na-K-(AlSi3O8)",kg,Geological,,,Resources/ground/Non-renewable material resources,90aaebec-d001-4401-a558-117f5637fd7b,,
