SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,SourceFlowCAS,SourceFlowCAS_Nolead_0,Notes,,TAH notes
ecoinvent,"Ethene, tetrachloro-",754028fd-e650-4804-922e-694a764ba578,air/ non-urban air or from high stacks,kg,=,,Tetrachloroethylene,,emission/air/troposphere/rural,kg,Edelen,Hottle,7/16/2020,000127-18-4,127184,CAS Match,,
ecoinvent,"Ethene, tetrachloro-",9bc66656-9f37-44bc-ae0b-5d5243b8137e,air/ unspecified,kg,=,,Tetrachloroethylene,,emission/air,kg,Edelen,Hottle,7/16/2020,000127-18-4,127184,CAS Match,,
ecoinvent,Tetramethyl ammonium hydroxide,2a1c80de-a083-470b-80dd-ba11a5aeea8c,air/ urban air close to ground,kg,=,,Tetramethylammonium hydroxide,,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,7/16/2020,000075-59-2,75592,CAS Match,,
ecoinvent,Thallium,50deb561-3de9-4b25-9b61-1695ad2dd136,air/ urban air close to ground,kg,=,,Thallium,,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,7/16/2020,007440-28-0,7440280,CAS Match,,
ecoinvent,Thallium,9540d6dc-b589-4fbb-8260-1b6a88b8bf11,air/ non-urban air or from high stacks,kg,=,,Thallium,,emission/air/troposphere/rural,kg,Edelen,Hottle,7/16/2020,007440-28-0,7440280,CAS Match,,
ecoinvent,Thallium,f2f1a5eb-de1e-42fe-ad80-60a255185ba9,"air/ low population density, long-term",kg,=,,Thallium,,emission/air/troposphere/rural,kg,Edelen,Hottle,7/16/2020,007440-28-0,7440280,CAS Match,,
ecoinvent,Thallium,18aa2daa-0188-4328-b24b-1ad1398ecf81,air/ unspecified,kg,=,,Thallium,,emission/air,kg,Edelen,Hottle,7/16/2020,007440-28-0,7440280,CAS Match,,
ecoinvent,Thallium,bc3d3e8d-249a-4e6d-85e8-3a003ca32776,soil/ industrial,kg,=,,Thallium,,emission/ground/human-dominated/industrial,kg,Edelen,Hottle,7/16/2020,007440-28-0,7440280,CAS Match,,
ecoinvent,Thallium,6fa8a7df-bd00-4b65-82bd-23b6a4cffe6a,soil/ unspecified,kg,=,,Thallium,,emission/ground,kg,Edelen,Hottle,7/16/2020,007440-28-0,7440280,CAS Match,,
ecoinvent,Thallium,7da26881-518f-4b1b-87bf-7d1f633a7c1a,water/ ground-,kg,=,,Thallium,,emission/water/subterranean,kg,Edelen,Hottle,7/16/2020,007440-28-0,7440280,CAS Match,,
ecoinvent,Thallium,7e9baf19-8fa4-49c6-a3c2-2e875217e60b,"water/ ground-, long-term",kg,=,,Thallium,,emission/water/subterranean,kg,Edelen,Hottle,7/16/2020,007440-28-0,7440280,CAS Match,,
ecoinvent,Thallium,7ae387da-8a0f-4931-97d4-49e93c0f5482,water/ ocean,kg,=,,Thallium,,emission/water/saline water body/ocean,kg,Edelen,Hottle,7/16/2020,007440-28-0,7440280,CAS Match,,
ecoinvent,Thallium,d9008a06-991c-4acc-a33e-5483ffd2491e,water/ surface water,kg,=,,Thallium,,emission/water,kg,Edelen,Hottle,7/16/2020,007440-28-0,7440280,CAS Match,,
ecoinvent,Thallium,32fccda4-0d99-40ab-b65f-c7203080b62b,water/ unspecified,kg,=,,Thallium,,emission/water,kg,Edelen,Hottle,7/16/2020,007440-28-0,7440280,CAS Match,,
ecoinvent,Thiamethoxam,9a8e2785-9175-4818-83ae-fc394e2d695a,soil/ agricultural,kg,=,,Thiamethoxam,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,153719-23-4,153719234,CAS Match,,
ecoinvent,Thifensulfuron,98fc8cad-e186-4353-8ffb-92ddae8cc685,air/ non-urban air or from high stacks,kg,=,,Thifensulfuron,,emission/air/troposphere/rural,kg,Edelen,Hottle,7/16/2020,,,Name Match,,
ecoinvent,Thifensulfuron-methyl,4bafafca-ff89-46aa-9aaf-c93667df13a4,soil/ agricultural,kg,=,,Thifensulfuron-methyl,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,079277-27-3,79277273,CAS Match,,
ecoinvent,Thiobencarb,5d02269c-1130-47a5-aa86-00d79802dc88,soil/ agricultural,kg,=,,Thiobencarb,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,028249-77-6,28249776,CAS Match,,
ecoinvent,"Thiocyanate, ion",53225326-6737-4c40-86d4-87893525fd1a,water/ ocean,kg,=,,Thiocyanate,,emission/water/saline water body/ocean,kg,Edelen,Hottle,7/16/2020,071048-69-6,71048696,Manual Match,,
ecoinvent,Thiodicarb,d90a3903-d98e-4750-9dc4-647f2c6af3ec,air/ non-urban air or from high stacks,kg,=,,Thiodicarb,,emission/air/troposphere/rural,kg,Edelen,Hottle,7/16/2020,,,Name Match,,
ecoinvent,Thiodicarb,44230d0d-f11f-473e-8b43-75656dcac834,soil/ agricultural,kg,=,,Thiodicarb,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,,,Name Match,,
ecoinvent,Thiophanat-methyl,423112a9-b4c4-4041-8854-57bffde7b9cc,soil/ agricultural,kg,=,,Thiophanate-methyl,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,023564-05-8,23564058,CAS Match,,
ecoinvent,Thiram,f992dcb8-c19c-46b1-a36b-3053ef83b755,soil/ agricultural,kg,=,,Thiram,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,000137-26-8,137268,CAS Match,,
ecoinvent,Thorium-228,6e769b2f-11ce-4ec1-ad99-a27c93361e72,air/ urban air close to ground,kBq,=,,Thorium-228,,emission/air/troposphere/urban/ground-level,kBq,Edelen,Hottle,7/16/2020,,,Name Match,,
ecoinvent,Thorium-228,bae57811-0343-41be-97cf-2c74279dd638,air/ non-urban air or from high stacks,kBq,=,,Thorium-228,,emission/air/troposphere/rural,kBq,Edelen,Hottle,7/16/2020,,,Name Match,,
ecoinvent,Thorium-228,ecc877ac-3c34-4838-b1f8-6ae0ff2cd2fc,air/ unspecified,kBq,=,,Thorium-228,,emission/air,kBq,Edelen,Hottle,7/16/2020,014274-82-9,14274829,CAS Match,,
