Flowable,Alternate Unit ,Reference Unit,Conversion Factor,External Reference,UUID
"cooling water to river, regionalized, AT",m3,kg,1000.0,added,2ddfef2e-db1e-448b-898d-c0a6019a9b21
"turbined water to lake, regionalized, IS",m3,kg,1000.0,added,2e21e20f-2147-4ff4-8536-01bdd14d5abf
"turbined water to lake, regionalized, ID",m3,kg,1000.0,added,2ee75f95-ac14-44be-b4b1-7f8ea11727a2
"lake water, regionalized, BR",m3,kg,1000.0,added,2eecf3f9-ee0f-4db4-b811-4958f2e47299
"processed water to lake, regionalized, BG",m3,kg,1000.0,added,2f161ed9-122b-4036-b0b0-2e0bb686d306
"ground water, regionalized, TR",m3,kg,1000.0,added,2fed092b-8ef5-4e4f-825f-81a5a444fef7
"lake water, regionalized, AR",m3,kg,1000.0,added,30218f56-cbc4-4d04-8eb1-41bbbb77e5bb
"lake water to turbine, regionalized, BD",m3,kg,1000.0,added,30532306-fec0-499c-a967-055e58b113c2
"lake water to turbine, regionalized, HU",m3,kg,1000.0,added,3059ff54-0cf5-4055-b90c-6e8748a68832
"fresh water, regionalized, CL",m3,kg,1000.0,added,3061f0b1-d772-4ff9-83a4-b23d93ffa809
"cooling water to lake, regionalized, TR",m3,kg,1000.0,added,31034302-4d77-42f8-a8e9-01a37f4a8c90
"processed water to groundwater, regionalized, RO",m3,kg,1000.0,added,3177b2fb-0f63-42a8-aab5-1984b752801e
"river water to turbine, regionalized, PL",m3,kg,1000.0,added,31efd40f-4161-47e4-ad90-b70ec043fce2
"processed water to river, regionalized, BG",m3,kg,1000.0,added,32112a1d-08f2-4912-8d49-129fa217b238
"processed water to groundwater, regionalized, TH",m3,kg,1000.0,added,326dc90d-b24e-4ef6-a012-5b601dcba1a2
"river water to turbine, regionalized, BD",m3,kg,1000.0,added,327479e1-da0e-42a5-8169-bde72ff7b3a9
"cooling water to lake, regionalized, NG",m3,kg,1000.0,added,33093e84-49fa-4e63-aff1-fc759f9459c9
"processed water to river, regionalized, UZ",m3,kg,1000.0,added,333d7cee-77d1-4342-bc9f-3e825543d8b8
"river water, low scarcity",m3,kg,1000.0,added,33b3d9a9-9950-4d6d-aed7-9eb31f08f759
"river water, regionalized, PH",m3,kg,1000.0,added,33de9d7c-f948-4d42-82ca-16ecea9451ac
"cooling water to lake, regionalized, IS",m3,kg,1000.0,added,33edcc3b-b062-4634-b676-3c5d38c854ca
"lake water, regionalized, RO",m3,kg,1000.0,added,33f36ab8-254a-468f-aa03-d96daa2ae61d
"turbined water to river, regionalized, JP",m3,kg,1000.0,added,34275ac0-b5b6-4dfc-9108-b9d71652ec56
"river water to turbine, regionalized, AT",m3,kg,1000.0,added,34740738-2d33-45f7-b89d-0c7c75fff830
"cooling water to river, regionalized, NZ",m3,kg,1000.0,added,347eef0d-32c6-4b0d-8d19-3aef399bf042
"processed water to lake, regionalized, LT",m3,kg,1000.0,added,34ca4dcc-f308-4f6e-a760-2d00866c6378
"ground water, regionalized, TH",m3,kg,1000.0,added,34e85083-8854-43a1-a5cf-7d54eb830905
"river water to turbine, regionalized, RO",m3,kg,1000.0,added,34fabe65-745b-4490-b747-8f56f8822dca
"lake water, regionalized, SK",m3,kg,1000.0,added,3523d6ad-ca7e-4e62-84b0-5afaa3faee94
"cooling water to lake, regionalized, PK",m3,kg,1000.0,added,35856777-b484-4b6c-9508-cd5b97dbe01c
"ground water, regionalized, SE",m3,kg,1000.0,added,35dad13f-ad1c-4594-9a4a-7821f7561190
"collected rainwater to lake, regionalized, FR",m3,kg,1000.0,added,36aad25f-6bc0-44ab-a223-ac6fe20e5bd2
"ground water, regionalized, BD",m3,kg,1000.0,added,36d86fa9-f6a2-44ed-a13a-a80a2bae72d7
"lake water to turbine, regionalized, AT",m3,kg,1000.0,added,36dfb8d5-07ad-4c32-9b81-295cd59d457a
"cooling water to river, regionalized, SE",m3,kg,1000.0,added,3713141c-8722-4526-9894-f91426af4270
"turbined water to lake, regionalized, UA",m3,kg,1000.0,added,377793a8-6f6d-4a2a-9d37-8c9272428373
"cooling water to lake, regionalized, LV",m3,kg,1000.0,added,378f5a5c-538c-494b-971c-e0a8be87732d
"cooling water to river, regionalized, IT",m3,kg,1000.0,added,379b0dc9-2054-4f17-8d6f-d6e11c7c6da0
"processed water to river, regionalized, NL",m3,kg,1000.0,added,37ca6a75-7270-4de5-9094-f1f28da5ed3a
"collected rainwater to river, regionalized, TH",m3,kg,1000.0,added,37f38ec9-9332-4a14-aa53-5609083cb75a
"turbined water to lake, regionalized, DK",m3,kg,1000.0,added,382f487b-a9cb-476f-bccc-7bbe66c2a7e1
"lake water to turbine, regionalized, KZ",m3,kg,1000.0,added,38711533-77b8-4329-ada0-5f4d4b779833
"processed water to lake, regionalized, BE",m3,kg,1000.0,added,38f7e651-edb5-4c91-97ac-69341b5a385a
"collected rainwater to lake, regionalized, MY",m3,kg,1000.0,added,391d11d4-3353-4463-a3c2-85af82f8d7d4
"river water to turbine, regionalized, LV",m3,kg,1000.0,added,39265a86-010a-4009-af81-936959052322
"lake water, regionalized, IE",m3,kg,1000.0,added,394c8395-4ac3-48f8-808d-54bfcbe7f27a
"cooling water to lake, regionalized, IE",m3,kg,1000.0,added,39a4efdd-aa51-41e6-964c-048214cc183b
"cooling water to river, regionalized, CN",m3,kg,1000.0,added,3a0b0f65-26d9-4196-a53c-e0832ca44d1e
"lake water to turbine, regionalized, GB",m3,kg,1000.0,added,3a6cda2e-8f26-4c99-8590-ed0da69c0450
"turbined water to river, regionalized, FI",m3,kg,1000.0,added,3a71bd6c-9c46-458c-90ba-d2b2b70a1ba6
water,m3,kg,1000.0,added,3a8411b6-e476-4f98-9d77-0d492661a07f
ground water high scarcity,m3,kg,1000.0,added,3ade2877-ae91-4107-bbf0-cb9291ebbe10
"turbined water to river, regionalized, IN",m3,kg,1000.0,added,3aee612e-e385-4d35-b824-bcd999979d38
"turbined water to lake, regionalized, PH",m3,kg,1000.0,added,3b2ad067-e5cb-48bd-af75-5d570d964b25
"collected rainwater to lake, regionalized, LU",m3,kg,1000.0,added,3b4de375-06e1-4c0c-8529-249c241cb9f9
"cooling water to river, regionalized, MX",m3,kg,1000.0,added,3b65624d-07cc-4351-a027-ebc5bf87889e
"processed water to lake, regionalized, UZ",m3,kg,1000.0,added,3bbac3b7-fa61-4ebf-a964-3b545e0ae211
"lake water, regionalized, NO",m3,kg,1000.0,added,3c2389f1-c340-4368-ab68-5bac504e0dd5
"collected rainwater to lake, regionalized, AT",m3,kg,1000.0,added,3c8730b0-6ffc-42e4-9a89-077651b665b2
"river water to turbine, regionalized, PH",m3,kg,1000.0,added,3c96eb2b-ca64-4943-aea0-10256798aeb6
"river water to turbine, regionalized, CL",m3,kg,1000.0,added,3c98c839-5410-41f4-9d35-f2a9ac190fd1
