SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
ecoinvent_v3.6,"Silver, Ag 1.5E-4%, Au 6.8E-4%, in ore, in ground",ed8c57b5-6012-4f21-8b70-92a85923786a,natural resource/in ground,kg,=,,FEDEFLv1.0.3,Silver ore,50ae9e27-a656-3ceb-bafe-9cf91607cfaf,resource/ground/subterranean,kg,Edelen,Hottle,8/24/2020,,,,
ecoinvent_v3.6,"Silver, Ag 1.5E-5%, Au 5.4E-4%, in ore, in ground",adfff256-b19a-4083-9783-ffbc7a7cb437,natural resource/in ground,kg,=,,FEDEFLv1.0.3,Silver ore,50ae9e27-a656-3ceb-bafe-9cf91607cfaf,resource/ground/subterranean,kg,Edelen,Hottle,8/24/2020,,,,
ecoinvent_v3.6,"Silver, Ag 9.7E-4%, in mixed ore, in ground",cfaa80f4-8e19-4fd6-942a-eaea14812896,natural resource/in ground,kg,=,,FEDEFLv1.0.3,Silver ore,50ae9e27-a656-3ceb-bafe-9cf91607cfaf,resource/ground/subterranean,kg,Edelen,Hottle,8/24/2020,,,,
ecoinvent_v3.6,"Silver, Ag 5.4E-3%, in mixed ore, in ground",eaa3e9d4-68d6-4267-a7a5-48b141c3861e,natural resource/in ground,kg,=,,FEDEFLv1.0.3,Silver ore,50ae9e27-a656-3ceb-bafe-9cf91607cfaf,resource/ground/subterranean,kg,Edelen,Hottle,8/24/2020,,,,
ecoinvent_v3.6,"Silver, Ag 1.8E-6%, in mixed ore, in ground",45ed0c16-0e34-45f1-8bf9-3b1ce8489e73,natural resource/in ground,kg,=,,FEDEFLv1.0.3,Silver ore,50ae9e27-a656-3ceb-bafe-9cf91607cfaf,resource/ground/subterranean,kg,Edelen,Hottle,8/24/2020,,,,
ecoinvent_v3.6,Carnallite,d16c8806-7701-4fbb-b68d-9b2d5d083d7a,natural resource/in water,kg,=,1,FEDEFLv1.0.3,Carnallite,64429d5c-24af-3a7c-8ea9-4359c6715dfc,resource/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,"Chlorinated solvents, unspecified",240ca121-d614-45f7-98fb-e6891559a4d0,air/non-urban air or from high stacks,kg,=,1,FEDEFLv1.0.3,"Solvents, chlorinated",1f63eec7-9ff1-399f-a611-f7df0c1ccbe0,emission/air/troposphere/rural,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,"Hydrocarbons, unspecified",042e5892-cd59-4e95-949e-cacce0e6a590,soil/unspecified,kg,=,1,FEDEFLv1.0.3,Hydrocarbons,182b44a1-6470-3848-a6c3-a68810b726d6,emission/ground,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,"Phenol, pentachloro-",a7ce2d61-decb-4076-baf1-774c4039b4e3,soil/unspecified,kg,=,1,FEDEFLv1.0.3,Pentachlorophenol,6df6d93b-c0d2-331d-9071-eae90c137fbe,emission/ground,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Hydrogen carbonate,8812d43d-8302-4adc-95da-8338976e56a6,water/ocean,kg,=,1,FEDEFLv1.0.3,Bicarbonate,869b1948-3e39-3b70-a244-f4f543cbf690,emission/water/saline water body/ocean,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Permethrin,54759564-e002-427d-836f-ad2a84cb7417,water/unspecified,kg,=,1,FEDEFLv1.0.3,Permethrin,38c25265-acd4-3957-9e79-ed67efbfc2d6,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Tebuconazole,65a6b1d7-ced3-4ae3-9789-c82060af6b2f,air/non-urban air or from high stacks,kg,=,1,FEDEFLv1.0.3,Tebuconazole,82193092-f8d6-3a8e-9741-e835dc4dcdbc,emission/air/troposphere/rural,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Tebuconazole,69349323-70b7-41d0-aeef-a29b49a89f85,water/surface water,kg,=,1,FEDEFLv1.0.3,Tebuconazole,229711e3-1f82-3d55-98e1-b64860143e2d,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,"Butylcarbamate, iodopropynyl",a5a9c364-1591-4247-8a42-60cfd33696ab,air/non-urban air or from high stacks,kg,=,1,FEDEFLv1.0.3,3-Iodo-2-propynyl butylcarbamate,6d93ee2b-22ee-3aa1-a67e-86507168441c,emission/air/troposphere/rural,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,"Butylcarbamate, iodopropynyl",5bb486eb-29db-4b80-bb79-c7023c0d5756,water/surface water,kg,=,1,FEDEFLv1.0.3,3-Iodo-2-propynyl butylcarbamate,61d8ffdd-f9e7-3470-9864-da0f3cbdf153,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Cypermethrin,620d3423-2376-4fcc-bb89-2d468f8b2df8,air/non-urban air or from high stacks,kg,=,1,FEDEFLv1.0.3,Beta Cypermethrin,56928278-4668-37f6-b751-7f12897b4787,emission/air/troposphere/rural,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Propiconazole,9bebedc1-d722-4dcd-bf4a-0f25da82eaa6,water/surface water,kg,=,1,FEDEFLv1.0.3,Propiconazole,136c89cc-8f16-3096-a60b-d4d27b8eb1f0,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Methyl ethyl ketone,811e5fae-807b-4ba1-8fbe-67e0b088c73c,water/surface water,kg,=,1,FEDEFLv1.0.3,Methyl ethyl ketone,bf688e2e-ac31-3441-b17c-c8ab06c188c6,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Monoethanolamine,071efe89-12e0-4ff8-80d1-4e6cf1e37233,water/unspecified,kg,=,1,FEDEFLv1.0.3,Ethanolamine,d9e1be63-768f-3baf-8187-311121fd13ed,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Cu-HDO,4b4530b5-89d5-4127-b8a5-96fc50972e26,water/unspecified,kg,=,1,FEDEFLv1.0.3,Bis(N-Cyclohexyldiazeniumdioxy)copper,3a339a53-d4f4-3f13-a128-7ea4bae19ef1,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Benzo(ghi)perylene,0017ce28-9f7a-404b-ad55-d3f43ad13cae,water/surface water,kg,=,1,FEDEFLv1.0.3,Benzo[ghi]perylene,5f75a7a8-003b-30a7-8f41-f83791efd349,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Chrysene,531c5bca-0304-4c3f-a058-c60371df26fb,water/surface water,kg,=,1,FEDEFLv1.0.3,Chrysene,18b5a96b-f01a-3b11-8077-16777ce57763,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Benzo(k)fluoranthene,cf2cfb56-f662-45cc-b124-3917573c37c0,water/surface water,kg,=,1,FEDEFLv1.0.3,Benzo[k]fluoranthene,fd07c148-75ee-3839-b747-72c0542da278,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Benzo(k)fluoranthene,785e9314-ccf6-4229-98c5-37881d624fc9,water/unspecified,kg,=,1,FEDEFLv1.0.3,Benzo[k]fluoranthene,fd07c148-75ee-3839-b747-72c0542da278,emission/water,kg,Hottle,Edelen,8/21/2020,,,,
ecoinvent_v3.6,"Dibenz(a,h)anthracene",904546ce-acb5-4cc3-9dda-950c7dc54328,water/surface water,kg,=,1,FEDEFLv1.0.3,"Dibenz[a,h]anthracene",f1b4ae26-6dda-3d7f-8364-6e8c0ed72c34,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
