Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1,,
propylene oxide,000075-56-9,,,kg,Element or Compound,,,Emissions/air/unspecified,a3304302-f9d5-44b2-9819-5ed63fb6750d,,,2245-32-1; 75-56-9,
R-40,000074-87-3,,,kg,Element or Compound,,,Emissions/air/unspecified,d5cbbf0e-99bc-42ed-baf2-e521095e65ea,,,2108-20-5; 74-87-3,
selenium,007782-49-2,,,kg,Element or Compound,,,Emissions/air/unspecified,dd181e45-813f-448a-a712-362b82742dc4,,,7782-49-2,
styrene,000100-42-5,,,kg,Element or Compound,,,Emissions/air/unspecified,dd6686aa-d68d-4e22-8ee2-d6cf2eb51fa8,,,6911-81-5; 68441-35-0; 12770-88-6; 52751-12-9; 287399-41-1; 27732-42-9; 25086-18-4; 100-42-5; 9003-53-6; 100-42-5,
terephthalic acid,000100-21-0,,,kg,Element or Compound,,,Emissions/air/unspecified,4d297ce8-3f84-4c91-a4c5-7a96f5872dca,,,100-21-0; 100-21-0,
tetrachloroethene,000127-18-4,,,kg,Element or Compound,,,Emissions/air/unspecified,8602c2fe-2b27-4fc4-86c6-cebca95476af,,,127-18-4; 127-18-4,
thiourea,000062-56-6,,,kg,Element or Compound,,,Emissions/air/unspecified,36f6f40d-826e-490f-8a1d-7541a5bb3ade,,,17370-85-3; 62-56-6; 17356-08-0; 62-56-6,
thiram,000137-26-8,,,kg,Element or Compound,,,Emissions/air/unspecified,34cfede6-b8a0-40ec-843d-b8c1587ceb75,,,137-26-8; 137-26-8,
toluene,000108-88-3,,,kg,Element or Compound,,,Emissions/air/unspecified,11ef7682-12c7-46bd-af82-fa05111d98a6,,,16954-38-4; 16713-13-6; 108-88-3; 50643-04-4; 108-88-3,
trichloroethene,000079-01-6,,,kg,Element or Compound,,,Emissions/air/unspecified,27ecca0c-70c6-4fae-8c41-3b7adc722eb2,,,79-01-6; 79-01-6,
trichlorofon,000052-68-6,,,kg,Element or Compound,,,Emissions/air/unspecified,938b8ba9-cda9-4389-a3ce-bf8e150b03fd,,,56042-27-4; 56042-26-3; 52-68-6; 26373-97-7; 52-68-6,
vinyl acetate,000108-05-4,,,kg,Element or Compound,,,Emissions/air/unspecified,66196a52-feb2-4661-b2fb-a38d0459ee9f,,,108-05-4; 189765-98-8; 108-05-4,
vinyl chloride,000075-01-4,,,kg,Element or Compound,,,Emissions/air/unspecified,c8bb78dd-05e3-45bd-91ad-94a30812148a,,,9002-86-2; 75-01-4,
xylene (all isomers),001330-20-7,,,kg,Element or Compound,,,Emissions/air/unspecified,c5bd1491-8b98-4ac1-8e8b-75b25842c217,,,,
ziram,000137-30-4,,,kg,Element or Compound,,,Emissions/air/unspecified,f94d0cc3-8602-404b-a029-0fe15de945b0,,,137-30-4; 137-30-4,
Radon (Rn-222)),014859-67-7,,,kBq,Element or Compound,,,Emissions/air/urban air close to ground,7964eb8a-c2a9-4665-805c-d77684df13c3,,,,
Polonium (Po-210),013981-52-7,,,kBq,Element or Compound,,,Emissions/air/urban air close to ground,7a490ba3-6532-42ba-abf4-d75f36607fe3,,,,
Noble gas,,,,kBq,Element or Compound,,,Emissions/air/urban high stacks,acb296ab-9deb-4dc4-b1bd-29ae38528ffc,,,,
Krypton (Kr-85),013983-27-2,,,kBq,Element or Compound,,,Emissions/air/urban high stacks,89cd1e8f-0702-429c-be40-eff483adc969,,,,
Iodine (I-129),015046-84-1,,,kBq,Element or Compound,,,Emissions/air/urban high stacks,56e4b2ad-7cce-4c09-8ee0-db9e975b8c07,,,,
Iodine (I-131),014834-67-4,,,kBq,Element or Compound,,,Emissions/air/urban high stacks,6990c915-389b-43c4-ae7e-2de94dafdffd,,,,
Tritium (H-3),010028-17-8,,,kBq,Element or Compound,,,Emissions/air/urban high stacks,9418e5a7-fbb2-4b66-b517-aee9f688ceeb,,,,
uranium,007440-61-1,,,kBq,Element or Compound,,,Emissions/air/urban high stacks,07b2b7fd-0721-4ba1-9a2a-149090c22c28,,,13598-56-6; 7440-61-1,
Carbon (C-14),014762-75-5,,,kBq,Element or Compound,,,Emissions/air/urban high stacks,84ce5d15-cf4f-4952-a653-c4c010c4817e,,,,
Cesium (Cs-137),010045-97-3,,,kBq,Element or Compound,,,Emissions/air/urban high stacks,5a3b2031-6e04-4408-ac24-710c650a8cff,,,,
Strontium (Sr-90),010098-97-2,,,kBq,Element or Compound,,,Emissions/air/urban high stacks,ea86ae5c-244d-4492-9a38-41f9fa143d03,,,,
Radionuclide (alpha emitters),,,,kBq,Element or Compound,,,Emissions/air/urban high stacks,f0ff0652-ecee-4b93-b2f3-d62492199c5a,,,,
Radionuclide ( (beta - gamma emitters),,,,kBq,Element or Compound,,,Emissions/air/urban high stacks,7e118aad-6a36-4b29-898d-8ca446abe7c4,,,,
2-(dimethylamino)ethyl acrylate,002439-35-2,,,kg,Element or Compound,,,Emissions/air/unspecified,b89cd4c1-8f2f-4d05-9f1c-2c1e4270d7e2,,,2439-35-2; 2439-35-2,
2-hydroxyethyl acrylate,000818-61-1,,,kg,Element or Compound,,,Emissions/air/unspecified,c0588553-655b-49df-a99b-2e8ccefdb78b,,,26022-14-0; 13331-72-1; 818-61-1; 26403-58-7; 818-61-1,
acrylonitrile,000107-13-1,,,kg,Element or Compound,,,Emissions/air/unspecified,111c489f-7100-418c-8d63-826899583c92,,,107-13-1; 25014-41-9; 107-13-1,
acetonitrile,000075-05-8,,,kg,Element or Compound,,,Emissions/air/unspecified,ced132fb-87b6-4c5e-917d-417fbf4e4350,,,75-05-8; 26809-02-9; 31432-55-0; 75-05-8,
acetone cyanohydrin,000075-86-5,,,kg,Element or Compound,,,Emissions/air/unspecified,658b5a71-98b7-42cf-b824-5b65cc67bf91,,,75-86-5; 75-86-5,
"2,2'-azobisisobutyronitrile",000078-67-1,,,kg,Element or Compound,,,Emissions/air/unspecified,9f926a10-05ea-4941-ad3c-5207a4847128,,,78-67-1; 34241-39-9; 78-67-1,
o-anisidine,000090-04-0,,,kg,Element or Compound,,,Emissions/air/unspecified,1f8d3795-9710-4a4d-81e3-71d53603f2cf,,,1820684-35-2; 90-04-0; 90-04-0,
m-aminophenol,000591-27-5,,,kg,Element or Compound,,,Emissions/air/unspecified,b8fa0936-a9b5-43e3-95ae-c653849ca0b3,,,591-27-5; 591-27-5,
3-amino-1-propene,000107-11-9,,,kg,Element or Compound,,,Emissions/air/unspecified,9fe09dcf-fa33-40a9-b659-bb8fa6e7aa07,,,71550-12-4; 30551-89-4; 107-11-9,
allyl alcohol,000107-18-6,,,kg,Element or Compound,,,Emissions/air/unspecified,b32dee35-c055-42fc-9c4e-67ad2a354d90,,,62309-52-8; 107-18-6; 107-18-6,
"1-allyloxy-2,3-epoxypropane",000106-92-3,,,kg,Element or Compound,,,Emissions/air/unspecified,5ee6bb55-7798-438a-a99c-7cdbd4dee77b,,,95043-55-3; 106-92-3; 25639-25-2; 106-92-3,
n-alkylbenzenesulfonic acid and its salts(alkyl C=10-14),No CAS,,,kg,Element or Compound,,,Emissions/air/unspecified,f7a4d29b-17c7-4155-a631-9097a30f501f,,,,
"3-isocyanatomethyl-3,5,5-trimethylcyclohexyl isocyanate",004098-71-9,,,kg,Element or Compound,,,Emissions/air/unspecified,60365c67-b91b-4c3b-933b-426123a226ca,,,4098-71-9; 4098-71-9,
"4,4'-isopropylidenediphenol",000080-05-7,,,kg,Element or Compound,,,Emissions/air/unspecified,bfbb5ffa-9aee-43b7-a9ce-4becb6e46aab,,,27100-33-0; 102438-62-0; 80-05-7; 80-05-7,
"2,2'-{isopropylidenebis[(2,6-dibromo-4,1-phenylene)oxy]}diethanol",004162-45-2,,,kg,Element or Compound,,,Emissions/air/unspecified,4f19e14f-e1df-4d26-8ee6-459c581fe2ff,,,,
3'-isopropoxy-2-trifluoromethylbenzanilide,066332-96-5,,,kg,Element or Compound,,,Emissions/air/unspecified,3a64e84e-d3b7-4ced-bc53-3a111c20917d,,,,
2-imidazolidinethione,000096-45-7,,,kg,Element or Compound,,,Emissions/air/unspecified,b18f358b-c360-46fe-bd02-59f4d7136a89,,,12261-94-8; 96-45-7; 96-45-7,
"1,1'-[iminodi(octamethylene)]diguanidine",013516-27-3,,,kg,Element or Compound,,,Emissions/air/unspecified,4d8421bc-364a-4e7b-b8ee-4c23f861c615,,,,
indium and its compounds,007440-74-6,,,kg,Groups of Chemicals ,,,Emissions/air/unspecified,edfe8765-6e8b-47bd-b801-3521615917a3,,,,
2-ethylhexanoic acid,000149-57-5,,,kg,Element or Compound,,,Emissions/air/unspecified,19066fc8-127f-4a14-b646-2393b3252e38,,,149-57-5; 61788-37-2; 125804-07-1; 149-57-5,
ethylenediamine,000107-15-3,,,kg,Element or Compound,,,Emissions/air/unspecified,56a7040f-1fa0-47e6-996e-076ba624556f,,,107-15-3; 27308-78-7; 107-15-3,
"1,1'-ethylene-2,2'-bipyridinium dibromide",000085-00-7,,,kg,Element or Compound,,,Emissions/air/unspecified,baf8c785-5302-4661-93d1-9004ea67e3c9,,,34417-68-0; 85-00-7,
2-(4-ethoxyphenyl)-2-methylpropyl 3-phenoxybenzyl ether,080844-07-1,,,kg,Element or Compound,,,Emissions/air/unspecified,112be272-6c89-4cf8-8fda-e73ee545d52c,,,,
"1,2-epoxybutane",000106-88-7,,,kg,Element or Compound,,,Emissions/air/unspecified,afda645a-844b-4f43-be63-241ee9e3cc3f,,,106-88-7; 106-88-7,
"2,3-epoxy-1-propanol",000556-52-5,,,kg,Element or Compound,,,Emissions/air/unspecified,d07366a2-f252-4dca-bc33-f5463b165a1f,,,556-52-5; 556-52-5,
ferric chloride,007705-08-0,,,kg,Element or Compound,,,Emissions/air/unspecified,92bc9a29-029e-4c9a-933b-9310f1614988,,,7705-08-0,
p-octylphenol,001806-26-4,,,kg,Element or Compound,,,Emissions/air/unspecified,c1f68664-f2eb-408b-b1e6-03fb31c2b85a,,,1806-26-4; 71902-25-5; 1806-26-4,
"2,4-xylenol",000105-67-9,,,kg,Element or Compound,,,Emissions/air/unspecified,2017f9ca-9f9a-4265-a77f-60dac72b4b02,,,105-67-9; 105-67-9,
"2,6-xylenol",000576-26-1,,,kg,Element or Compound,,,Emissions/air/unspecified,a293afad-ff47-435b-b1a6-14eb9e64307d,,,285132-85-6; 576-26-1; 25134-01-4; 576-26-1,
quinoline,000091-22-5,,,kg,Element or Compound,,,Emissions/air/unspecified,14ce8bf5-21cc-41e5-ba5e-e131d3dba06f,,,15793-86-9; 15793-85-8; 15793-84-7; 15793-83-6; 15793-82-5; 91-22-5; 15793-81-4; 15793-87-0; 91-22-5,
silver and its water-soluble compounds,007440-22-4,,,kg,Groups of Chemicals ,,,Emissions/air/unspecified,20f3168f-519c-41e2-a597-84f23fb9660c,,,,
glutaraldehyde,000111-30-8,,,kg,Element or Compound,,,Emissions/air/unspecified,dab03cc4-b50e-4fff-952e-7f63fd12cdff,,,29257-65-6; 111-30-8; 111-30-8,
chloroaniline,024613-03-4,,,kg,Element or Compound,,,Emissions/air/unspecified,cb5ed641-e36a-4ce0-a5a2-09ffe2df3b4c,,,24613-03-4,
"3-chloro-N-(3-chloro-5-trifluoromethyl-2-pyridyl)-α,α,α-trifluoro-2,6-dinitro-p-toluidine",079622-59-6,,,kg,Element or Compound,,,Emissions/air/unspecified,fe631490-4ca0-4242-b550-98f06b3e1fcb,,,,
"1-({2-[2-chloro-4-(4-chlorophenoxy)phenyl]-4-methyl-1,3-dioxolan-2-yl}methyl)-1H-1,2,4-triazole",119446-68-3,,,kg,Element or Compound,,,Emissions/air/unspecified,e92eb1c9-fd65-4b96-ab38-e2d583c1e7e7,,,119446-68-3; 119446-68-3,
chloroacetic acid,000079-11-8,,,kg,Element or Compound,,,Emissions/air/unspecified,7f1a06a3-7fdf-4a9e-acb3-384bba5c8fe3,,,79-11-8; 79-11-8,
ethyl chloroacetate,000105-39-5,,,kg,Element or Compound,,,Emissions/air/unspecified,b68c8f2c-6996-468f-80d4-ea06bccfd82c,,,105-39-5; 105-39-5,
"2-chloro-2',6'-diethyl-N-(2-propoxyethyl)acetanilide",051218-49-6,,,kg,Element or Compound,,,Emissions/air/unspecified,48d0f7b1-51c7-4d18-b2cb-74bbaa72504a,,,51218-49-6,
"1-chloro-2,4-dinitrobenzene",000097-00-7,,,kg,Element or Compound,,,Emissions/air/unspecified,a18ebeef-a2c3-4e3c-ae19-cbd4a9c25cb9,,,97-00-7; 97-00-7,
chlorotrifluoroethane,000075-88-7,,,kg,Element or Compound,,,Emissions/air/unspecified,8a8c4766-584e-4500-bd1e-394a5b775167,,,75-88-7,
o-chlorotoluene,000095-49-8,,,kg,Element or Compound,,,Emissions/air/unspecified,23aba5b2-6441-491f-b77b-5467489a818f,,,362049-57-8; 84344-05-8; 95-49-8; 95-49-8,
p-chlorotoluene,000106-43-4,,,kg,Element or Compound,,,Emissions/air/unspecified,008c4bff-7402-42fd-8f85-bda0545e261c,,,3327-51-3; 106-43-4; 106-43-4,
2-chloronitrobenzene,000088-73-3,,,kg,Element or Compound,,,Emissions/air/unspecified,1e8db735-39c8-4599-bc5a-533a97e978d0,,,88-73-3; 25167-93-5; 88-73-3,
o-chlorophenol,000095-57-8,,,kg,Element or Compound,,,Emissions/air/unspecified,35c5c95a-c54f-4c9e-a921-eaef4a4ad385,,,25167-80-0; 95-57-8; 95-57-8,
p-chlorophenol,000106-48-9,,,kg,Element or Compound,,,Emissions/air/unspecified,ff7fc429-9f86-41a9-b6f1-c46f93440aed,,,106-48-9; 106-48-9,
3-chloropropene,000107-05-1,,,kg,Element or Compound,,,Emissions/air/unspecified,a7829510-d475-4202-9ad9-fc62a624f9d5,,,107-05-1; 107-05-1,
3-chloro-2-methyl-1-propene,000563-47-3,,,kg,Element or Compound,,,Emissions/air/unspecified,b2f9431a-1726-4087-aeb1-9802efe867f8,,,563-47-3; 563-47-3,
cobalt and its compounds,007440-48-4,,,kg,Groups of Chemicals ,,,Emissions/air/unspecified,6127358f-92e8-4beb-8ffe-e8751c1334bd,,,,
2-methoxyethyl acetate,000110-49-6,,,kg,Element or Compound,,,Emissions/air/unspecified,d68f918b-4f58-4561-8825-23de988d5d8e,,,32718-56-2; 110-49-6,
salicylaldehyde,000090-02-8,,,kg,Element or Compound,,,Emissions/air/unspecified,145aa0c2-44c2-4391-aa66-e763163a2905,,,27761-48-4; 111268-93-0; 28777-87-9; 90-02-8; 90-02-8,
cyanamide,000420-04-2,,,kg,Element or Compound,,,Emissions/air/unspecified,6310d355-060e-4cd1-a5c8-57d6c290276a,,,4850-53-7; 2669-76-3; 87009-57-2; 420-04-2; 420-04-2,
inorganic cyanide compounds (except complex salts and cyanates),000074-90-8,,,kg,Groups of Chemicals ,,,Emissions/air/unspecified,ea55032e-99d1-4548-a009-fdaff0f61892,,,,
2-(diethylamino)ethanol,000100-37-8,,,kg,Element or Compound,,,Emissions/air/unspecified,a4d725f3-8104-48a1-bf85-6b0e418ccc19,,,83206-48-8; 100-37-8; 100-37-8,
"N,N-diethyl-3-(2,4,6-trimethylphenylsulfonyl)-1H-1,2,4-triazole-1-carboxamide",125306-83-4,,,kg,Element or Compound,,,Emissions/air/unspecified,9681f4fd-670c-4042-a999-80a940f9abc0,,,,
"1,3-dioxolane",000646-06-0,,,kg,Element or Compound,,,Emissions/air/unspecified,b5892c90-2278-4c55-9566-e6e632c07fed,,,646-06-0; 646-06-0,
cyclohexylamine,000108-91-8,,,kg,Element or Compound,,,Emissions/air/unspecified,a69c7cf7-20c5-434f-bd6a-601dff619b79,,,108-91-8; 108-91-8; 108-91-8,
N-(cyclohexylthio)phthalimide,017796-82-6,,,kg,Element or Compound,,,Emissions/air/unspecified,d21d843f-39d3-4299-b618-c08c8e435ff0,,,17796-82-6; 17796-82-6,
"2,4-dichlorotoluene",000095-73-8,,,kg,Element or Compound,,,Emissions/air/unspecified,a320f1fd-a288-4397-9781-a19329388df2,,,95-73-8; 95-73-8,
dichlorobenzene,000095-50-1,,,kg,Element or Compound,,,Emissions/air/unspecified,e4f89f1a-d40a-4168-97f6-2428b54a75ca,,,55232-43-4; 106-46-7; 106-46-7,
"4-(2,4-dichlorobenzoyl)-1,3-dimethyl-5-pyrazolyl 4-toluenesulfonate",058011-68-0,,,kg,Element or Compound,,,Emissions/air/unspecified,6b4168f4-3bfa-4002-b792-1f53a18ecb5a,,,,
"2,6-dichlorobenzonitrile",001194-65-6,,,kg,Element or Compound,,,Emissions/air/unspecified,be7a2102-c334-4381-90a4-adcc993f9884,,,1194-65-6; 104809-79-2; 1194-65-6,
dichloropentafluoropropane,000422-56-0,,,kg,Element or Compound,,,Emissions/air/unspecified,6b2d6132-c131-47d9-a9cd-cbeb8e40fdae,,,127564-92-5; 422-56-0,
"N,N-dicyclohexylamine",000101-83-7,,,kg,Element or Compound,,,Emissions/air/unspecified,202480a7-171d-4856-8602-765ca627bcb1,,,101-83-7; 101-83-7,
dicyclopentadiene,000077-73-6,,,kg,Element or Compound,,,Emissions/air/unspecified,17663768-4d29-4445-aaf5-d283bc818cad,,,77-73-6; 25038-78-2; 933-60-8; 1755-01-7; 77-73-6,
"diisopropyl 1,3-dithiolan-2-ylidenemalonate",050512-35-1,,,kg,Element or Compound,,,Emissions/air/unspecified,9b763b21-b3e9-4a49-8e9e-30b6d7e0f4c9,,,50512-35-1,
dinitrotoluene,025321-14-6,,,kg,Element or Compound,,,Emissions/air/unspecified,d79e4e0a-0a67-4acc-a080-2d83f0cdbcd0,,,602-01-7; 25321-14-6; 602-01-7,
diphenyl ether,000101-84-8,,,kg,Element or Compound,,,Emissions/air/unspecified,2624e782-e8e3-4560-bb4f-1131fdf166cf,,,93952-05-7; 101-84-8; 32576-61-7; 101-84-8,
"1,3-diphenylguanidine",000102-06-7,,,kg,Element or Compound,,,Emissions/air/unspecified,b3d1265b-a630-4409-98d5-301495e76d8e,,,102-06-7; 102-06-7,
"2,6-di-tert-butyl-4-cresol",000128-37-0,,,kg,Element or Compound,,,Emissions/air/unspecified,d1516288-4f8b-4b20-92e2-472b89a9a6c1,,,128-37-0; 128-37-0,
"2,2-dibromo-2-cyanoacetamide",010222-01-2,,,kg,Element or Compound,,,Emissions/air/unspecified,085377c2-b6bd-4a24-8f8d-b54316ebe4c7,,,10222-01-2; 10222-01-2,
"N,N-dimethylacetamide",000127-19-5,,,kg,Element or Compound,,,Emissions/air/unspecified,99c5eac6-608f-4964-9bd7-f3678d2621e2,,,31591-08-9; 286367-73-5; 20255-66-7; 127-19-5; 127-19-5,
"2,6-dimethylaniline",000087-62-7,,,kg,Element or Compound,,,Emissions/air/unspecified,87824737-4a7e-4cd0-8c5b-5dd102a4c5cd,,,919785-81-2; 87-62-7; 87-62-7,
"N,N-dimethylaniline",000121-69-7,,,kg,Element or Compound,,,Emissions/air/unspecified,0dd646c0-11d6-4ee0-944f-f8354c651cd9,,,88889-00-3; 87385-38-4; 4019-61-8; 85785-00-8; 121-69-7; 121-69-7,
"5-dimethylamino-1,2,3-trithiane",031895-21-3,,,kg,Element or Compound,,,Emissions/air/unspecified,82335053-a043-483a-98ee-ea95d8656e7c,,,,
dimethylamine,000124-40-3,,,kg,Element or Compound,,,Emissions/air/unspecified,40e29c0f-a96c-4de1-babd-2148e31c98cc,,,20786-94-1; 124-40-3; 917-72-6; 124-40-3,
dimethyl disulfide,000624-92-0,,,kg,Element or Compound,,,Emissions/air/unspecified,ad13a725-52cb-4bad-bbf0-4f7f84ec4d54,,,624-92-0; 624-92-0,
"N,N-dimethyldodecylamine N-oxide",001643-20-5,,,kg,Element or Compound,,,Emissions/air/unspecified,1bbad2ef-d1c2-43c2-91af-e17df3649381,,,1643-20-5,
"1,1-dimethylhydrazine",000057-14-7,,,kg,Element or Compound,,,Emissions/air/unspecified,9725daff-9aeb-4df4-ba4c-eb5b4fe45f8d,,,57-14-7; 57-14-7,
"3,3'-dimethylbiphenyl-4,4'-diyl diisocyanate",000091-97-4,,,kg,Element or Compound,,,Emissions/air/unspecified,4f71cc2d-caf4-41ad-b898-0e591ef4df86,,,91-97-4,
"N-(1,3-dimethylbutyl)-N'-phenyl-p-phenylenediamine",000793-24-8,,,kg,Element or Compound,,,Emissions/air/unspecified,54a19877-4ca4-427d-8491-94efb4409d20,,,50809-58-0; 793-24-8; 76600-84-5; 793-24-8,
"3,3'-dimethylbenzidine",000119-93-7,,,kg,Element or Compound,,,Emissions/air/unspecified,3ef8e8be-ec38-499a-80c5-b9f646036586,,,119-93-7; 119-93-7,
bromine,007726-95-6,,,kg,Element or Compound,,,Emissions/air/unspecified,5158a5fa-0344-4c0c-a574-6d30a7aafeda,,,7726-95-6,
hydrogenated terphenyl,061788-32-7,,,kg,Element or Compound,,,Emissions/air/unspecified,f3b135b1-7163-48e5-9ac1-499d36035fc9,,,,
organic tin compounds,007440-31-5,,,kg,Groups of Chemicals ,,,Emissions/air/unspecified,91595331-13ef-44f8-be2e-45dc76773483,,,,
thiophenol,000108-98-5,,,kg,Element or Compound,,,Emissions/air/unspecified,4000be38-99b7-4695-8b08-c7e89b47c149,,,16528-57-7; 108-98-5; 108-98-5,
"O,O-diethyl O-5-phenyl-3-isoxazolyl phosphorothioate",018854-01-8,,,kg,Element or Compound,,,Emissions/air/unspecified,13e39e12-1eb4-49cf-af7d-7588a8c9ec5e,,,,
decanoic acid,000334-48-5,,,kg,Element or Compound,,,Emissions/air/unspecified,ca2bfe0b-70ee-46b9-b40f-6035ef77013f,,,62716-49-8; 334-48-5; 334-48-5,
decyl alcohol,000112-30-1,,,kg,Element or Compound,,,Emissions/air/unspecified,e1cde1bd-29c9-41eb-8935-472982a2d734,,,42006-99-5; 70084-71-8; 66455-17-2; 112-30-1; 85566-12-7; 36729-58-5; 112-30-1,
"1,3,5,7-tetraazatricyclo[3.3.1.13.7]decane",000100-97-0,,,kg,Element or Compound,,,Emissions/air/unspecified,424d8239-7d60-4d6f-a059-8d5dbef23bf8,,,,
tetraethylthiuram disulfide,000097-77-8,,,kg,Element or Compound,,,Emissions/air/unspecified,2ca42692-10e3-4860-94d9-f221e9b6f379,,,97-77-8; 97-77-8,
tetrahydromethylphthalic anhydride,011070-44-3,,,kg,Element or Compound,,,Emissions/air/unspecified,6738a211-5384-4fb1-8134-ebd4387a2865,,,75910-60-0; 11070-44-3,
"3,7,11,15-tetramethylhexadec-1-en-3-ol",000505-32-8,,,kg,Element or Compound,,,Emissions/air/unspecified,7c71a909-facb-4e1e-b1a6-5371678994ff,,,505-32-8; 505-32-8,
"copper salts(water-soluble, except complex salts)",007440-50-8,,,kg,Element or Compound,,,Emissions/air/unspecified,7b45ed33-9fa0-4088-8376-49fcdc560c8c,,,,
1-dodecanol,000112-53-8,,,kg,Element or Compound,,,Emissions/air/unspecified,74391c26-26b0-40d4-9847-d38adce95507,,,112-53-8; 68551-07-5; 27342-88-7; 112-53-8,
tert-dodecanethiol,025103-58-6,,,kg,Element or Compound,,,Emissions/air/unspecified,fa1155d0-25f3-466a-8cb7-da3cbde3de7e,,,25103-58-6,
sodium dodecyl sulfate,000151-21-3,,,kg,Element or Compound,,,Emissions/air/unspecified,f46502c6-a0d5-449e-8f47-1d46a5905d1b,,,151-21-3; 151-21-3,
"3,6,9-triazaundecane-1,11-diamine",000112-57-2,,,kg,Element or Compound,,,Emissions/air/unspecified,4faa4f98-5f2d-4bcd-b81a-699bbc7115bc,,,112-57-2; 26913-06-4; 112-57-2,
triethylamine,000121-44-8,,,kg,Element or Compound,,,Emissions/air/unspecified,bdc29124-14af-49a0-86ac-f9cc8fe9de61,,,121-44-8; 121-44-8,
triethylenetetramine,000112-24-3,,,kg,Element or Compound,,,Emissions/air/unspecified,07bf1c31-4023-4163-b812-e1c309ecc6a6,,,105821-86-1; 112-24-3; 112-24-3,
"2,4,6-trichloro-1,3,5-triazine",000108-77-0,,,kg,Element or Compound,,,Emissions/air/unspecified,fae44751-5ba8-428c-b42d-481296bd733e,,,108-77-0; 108-77-0,
trichloronitromethane,000076-06-2,,,kg,Element or Compound,,,Emissions/air/unspecified,0c160aae-c0dd-4fc8-bb27-2fd2c0bca08d,,,76-06-2; 76-06-2,
"2,4,6-trichlorophenol",000088-06-2,,,kg,Element or Compound,,,Emissions/air/unspecified,9d8e95c0-b71c-4a93-9de8-ec514d0db937,,,25167-82-2; 93951-80-5; 88-06-2; 88-06-2,
"1,2,3-trichloropropane",000096-18-4,,,kg,Element or Compound,,,Emissions/air/unspecified,71b53a68-b875-482a-af18-e476e6baae5e,,,96-18-4; 96-18-4,
trichlorobenzene,000087-61-6,,,kg,Element or Compound,,,Emissions/air/unspecified,3b4490ef-34d9-42e7-945f-67b7c91a7efc,,,51703-47-0; 87-61-6; 12002-48-1; 87-61-6,
"1,3,5-tris(2,3-epoxypropyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione",002451-62-9,,,kg,Element or Compound,,,Emissions/air/unspecified,0a0711c6-04f5-4e2f-bcf2-9fc3d4a7e9d9,,,,
tributylamine,000102-82-9,,,kg,Element or Compound,,,Emissions/air/unspecified,3a8d6ff4-5271-4fff-bf8a-4db03e04ec93,,,102-82-9; 102-82-9,
"3,5,5-trimethyl-1-hexanol",003452-97-9,,,kg,Element or Compound,,,Emissions/air/unspecified,46394cbf-7775-464c-a32f-fe8781527c45,,,3452-97-9; 3452-97-9,
toluidine,000106-49-0,,,kg,Element or Compound,,,Emissions/air/unspecified,be1c5780-b400-41fc-81d8-6a52eff4b3cd,,,,
toluenediamine,000095-80-7,,,kg,Element or Compound,,,Emissions/air/unspecified,0557699b-ca46-4015-b4e2-bbed89979c01,,,71111-07-4; 71111-08-5; 95-80-7; 95-80-7,
lead compounds,No CAS,,,kg,Groups of Chemicals ,,,Emissions/air/unspecified,823b4b88-fd45-49ca-b8a8-31677b02236d,,,14452-81-4; 54076-28-7; 7439-92-1,
hexamethylene diacrylate,013048-33-4,,,kg,Element or Compound,,,Emissions/air/unspecified,b146c5f7-cb3a-4e64-99e7-9c107d5a3b2a,,,13048-33-4; 13048-33-4,
nitroglycerin,000055-63-0,,,kg,Element or Compound,,,Emissions/air/unspecified,deca8115-4674-4e16-be14-a571ce6f2010,,,27906-99-6; 55-63-0,
o-nitrotoluene,000088-72-2,,,kg,Element or Compound,,,Emissions/air/unspecified,e49a77ae-7f44-4b10-af44-f6717b881c91,,,88-72-2; 88-72-2,
nitromethane,000075-52-5,,,kg,Element or Compound,,,Emissions/air/unspecified,c6c102e4-5956-44fe-badf-13212775d4bb,,,75-52-5; 75-52-5,
1-nonanol,000143-08-8,,,kg,Element or Compound,,,Emissions/air/unspecified,d51f69a5-2e52-4cc7-be57-683d0a3414bb,,,143-08-8; 33975-46-1; 28473-21-4; 143-08-8,
vanadium compounds,No CAS,,,kg,Groups of Chemicals ,,,Emissions/air/unspecified,cf3e364b-d050-40bf-a696-8e925d870a4b,,,,
"2,4-bis(ethylamino)-6-methylthio-1,3,5-triazine",001014-70-6,,,kg,Element or Compound,,,Emissions/air/unspecified,43c9e710-22d0-483d-8d76-0f4d8ed5c432,,,1014-70-6; 1014-70-6,
bis(1-methyl-1-phenylethyl) peroxide,000080-43-3,,,kg,Element or Compound,,,Emissions/air/unspecified,44f5de00-79ab-43aa-8631-838642483ea1,,,80-43-3; 80-43-3,
hydroquinone,000123-31-9,,,kg,Element or Compound,,,Emissions/air/unspecified,0ce9ace5-8b74-4c98-ad6c-fb442df9df11,,,123-31-9; 123-31-9,
2-vinylpyridine,000100-69-6,,,kg,Element or Compound,,,Emissions/air/unspecified,577b9919-6e77-4372-bc74-e3d2df632afc,,,329041-71-6; 100-69-6; 27476-03-5; 25014-15-7; 1337-81-1; 100-69-6,
