Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,,Second CAS
Nitrobenzene,000098-95-3,,,kg,chemical,,,air/urban air close to ground,1753af55-cfa1-4fb2-a059-33594a759982,,,98-95-3
Nitrobenzene,000098-95-3,,,kg,chemical,,,water/ground-,c778e59e-23d1-438c-bfb3-7321e019f1cf,,,98-95-3
Nitrobenzene,000098-95-3,,,kg,chemical,,,"water/ground-, long-term",4c1f2242-8f97-4b1b-9511-af456caea4e6,,,98-95-3
Nitrobenzene,000098-95-3,,,kg,chemical,,,water/ocean,66eab6b4-6ba0-436f-ad18-331ec0ddca20,,,98-95-3
Nitrobenzene,000098-95-3,,,kg,chemical,,,water/surface water,ac84dcb0-8ff0-4aa5-a9c4-f6c5129f6f86,,,98-95-3
Nitrobenzene,000098-95-3,,,kg,chemical,,,water/unspecified,183aa819-941d-48b4-9d47-7e725d1813bb,,,98-95-3
Nitrogen,007727-37-9,N,,kg,chemical,,,air/unspecified,e5ea66ee-28e2-4e9b-9a25-4414551d821c,,,7727-37-9
Nitrogen,007727-37-9,N,,kg,chemical,,,natural resource/in air,e3f5fd63-7dcb-41f1-9b8a-a48a8d68bc65,,,7727-37-9
Nitrogen,007727-37-9,,,kg,chemical,,,soil/agricultural,7ce704ce-2a44-448b-b198-f00bf5928b4b,,,7727-37-9
Nitrogen,007727-37-9,,,kg,chemical,,,soil/forestry,994129c0-37ba-464f-a222-a8231715dae2,,,7727-37-9
Nitrogen,007727-37-9,,,kg,chemical,,,soil/industrial,eadc37a4-8b1e-4dd2-8f4a-39d89d5f39ba,,,7727-37-9
Nitrogen,007727-37-9,,,kg,chemical,,,soil/unspecified,b748f6f1-7061-4243-89c7-3f2d01dcec07,,,7727-37-9
Nitrogen,007727-37-9,,,kg,chemical,,,water/ground-,0c150bb4-fd1a-43f8-b6c9-5dfda8dadb6c,,,7727-37-9
Nitrogen,007727-37-9,,,kg,chemical,,,"water/ground-, long-term",42eeb663-34dc-4394-8a07-e4d8e45a7e2d,,,7727-37-9
Nitrogen,007727-37-9,,,kg,chemical,,,water/ocean,996829cc-2d40-418a-beda-7c50399952f9,,,7727-37-9
Nitrogen,007727-37-9,,,kg,chemical,,,water/surface water,ae70ca6c-807a-482b-9ddc-e449b4893fe3,,,7727-37-9
Nitrogen,007727-37-9,,,kg,chemical,,,water/unspecified,dcfe0815-6fa3-4e1d-a55e-155b29904f1d,,,7727-37-9
Nitrogen dioxide,010102-44-0,NO2,Nitrogen(IV) oxide,kg,chemical,,,water/surface water,399b496b-b590-4c48-ba34-0e8f18b5baff,,,10102-44-0
Nitrogen fluoride,007783-54-2,,trifluoramine,kg,chemical,,,"air/low population density, long-term",4c097625-506e-4dfc-a170-75fda90cf7cb,,,7783-54-2
